First Author,Last Author,Title,Journal,ISSN,Yr of Publication,Yr of Retraction,Months to Retraction,PMID,Impact Factor,"5-year Impact Factor, year of publication; bold = 1-year IF; used 1999 IF for papers before 1999","Grant number(total grant size, #papers citing)","Grants, duplicates removed",Attributable $,"Attributable $, 2012 dollars","Total for all cited grants, non-duplicate grants","Total for all cited grants, non-duplicate grants, 2012 dollars","All NIH, all accounted for in ExPORTER?"
Jiao S,Wolff JA,Long-term correction of rat model of Parkinson's disease by gene therapy.,Nature,0028-0836,1993,1996,36,8096625,36.235,29.491,Portions of this work supported by USDA,Portions of this work supported by USDA,0,0,0,0,
Jorge-Rivera JC,Henderson LP,Anabolic steroids induce region- and subunit-specific rapid modulation of GABA(A) receptor-mediated currents in the rat forebrain,J Neurophysiol,0022-3077,2000,2007,87,10848550,3.713,3.855,"NS28668(1227139,12) and NSF DBI-9707826","NS28668(1227139,12) and NSF DBI-9707826",102261.5833,136345.21,1227139,1636142.58,
Kabarowski JH,Xu Y,Lysophosphatidylcholine as a ligand for the immunoregulatory receptor G2A,Science,0036-8075,2001,2005,42,11474113,32.452,23.329,"CA84038-01(222000,8) CA76204(1983525,14) CA09056(6422801,161) U.S. Army grant RPG-99-062-01-CNE ( O.N.W. is an Investigator of the Howard Hughes Medical Institute. J.H.S.K. is a fellow of the Leukemia and Lymphoma Society of America. L.Q.L. is supported by National Research Service Award T32","CA84038-01(222000,8) CA76204(1983525,14) CA09056(6422801,161) U.S. Army grant RPG-99-062-01-CNE ( O.N.W. is an Investigator of the Howard Hughes Medical Institute. J.H.S.K. is a fellow of the Leukemia and Lymphoma Society of America. L.Q.L. is supported by National Research Service Award T32",209323.5311,271368.87,8628326,11185837.83,
Kantevari S,Ellis-Davies GC,Development of anionically decorated 2-(ortho-nitrophenyl)-propyl-caged neurotransmitters for photolysis in vitro and in vivo.,Chembiochem,1439-4227,2011,2011,1,21225599,3.719,3.719,"GM53395(3583936,47)","GM53395(3583936,47)",76253.95745,77832,3583936,3658103.76,Y
Katz PP,Blanc PD,Perceived control of asthma: development and validation of a questionnaire.,Am J Respir Crit Care Med,1073-449X,1997,2000,43,9032197,10.424,5.491,"HL48959(335487,5) HL03225(355590,22)","HL48959(335487,5) HL03225(355590,22)",83260.58182,119103.61,691077,988580.27,
Kindzelskii AL,Petty HR,"Intracellular calcium waves accompany neutrophil polarization, formylmethionylleucylphenylalanine stimulation, and phagocytosis: a high speed microscopy study",J Immunol,0022-1767,2003,2009,73,12496384,5.859,6.702,"CA74120(2465501,25)","CA74120(2465501,25)",98620.04,123057.44,2465501,3076436.07,Y
Kindzelskii AL,Petty HR,Apparent role of traveling metabolic waves in oxidant release by living neutrophils.,Proc Natl Acad Sci U S A,0027-8424,2002,2010,95,12082178,10.472,10.7,"CA74120(2465501,25)",,98620.04,125861.98,0,0,Y
Koch CA,,Rapid increase in bone mineral density in a child with osteoporosis and autoimmune hypoparathyroidism treated with PTH 1-34,Exp Clin Endocrinol Diabetes,0947-7349,2001,2002,7,11571675,1.737,1.617,no grants cited,no grants cited,0,0,0,0,
Kow YW,Goodman SD,Escherichia coli HU protein has a role in the repair of abasic sites in DNA,Nucleic Acids Res,0305-1048,2007,2009,20,17916578,8.026,7.163,"CA90860(1090739,17) PO1ES011163(12557334,57) R01DE13965(1322345,5)","CA90860(1090739,17) PO1ES011163(12557334,57) R01DE13965(1322345,5)",548934.2229,607845.99,14970418,16577047,Y
Krishna Murthy HM,Padmanabhan R,"Crystallization, characterization and measurement of MAD data on crystals of dengue virus NS3 serine protease complexed with mung-bean Bowman-Birk inhibitor.",Acta Crystallogr D Biol Crystallogr,0907-4449,1999,2010,127,10393310,7.038,2.935,"AI32078(1979427,20) and Johnson&Johnson focused giving grant","AI32078(1979427,20) and Johnson&Johnson focused giving grant",98971.35,136393.93,1979427,2727878.53,
Kuklo TR,Islinger RB,Recombinant human bone morphogenetic protein-2 for grade III open segmental tibial fractures from combat injuries in Iraq,J Bone Joint Surg Br,0021-9355,2008,2009,7,18669965,3.405,6.279,Unavailable,article not available,0,0,0,0,
Kumar DM,Agarwal N,Estrogens and neuroprotection in retinal diseases,Mol Vis,1090-0535,2008,2008,3,18698377,2.513,2.615,"AG10485(18448819,208) AG22550(14204663,108) AG020494(2238531,21) and National Glaucoma Program of the American Health Assistance Foundation","AG10485(18448819,208) AG22550(14204663,108) AG020494(2238531,21) and National Glaucoma Program of the American Health Assistance Foundation",326817.6169,348510.54,34892013,37208013,
Kumar R,Damodaran C,"Psoralidin, an herbal molecule, inhibits phosphatidylinositol 3-kinase-mediated Akt signaling in androgen-independent prostate cancer cells.",Cancer Prev Res (Phila),1940-6207,2009,2011,32,19223576,5.181,6.153,"R01AT002890(1072501,4) and University of Kentucky Research Foundation grants","R01AT002890(1072501,4) and University of Kentucky Research Foundation grants",268125.25,286943.27,1072501,1147773.09,
Kupfer Y,Tessler S,Chest tube drainage of transudative pleural effusions hastens liberation from mechanical ventilation.,Chest,0012-3692,2011,2012,10,20688921,6.224,6.224,no grants cited,no grants cited,0,0,0,0,
Kwon E,Kim S,An investigation into the impact of CO2 co-feed on pyrolysis and gasification.,Chemosphere,0045-6535,2010,2011,7,20546843,3.613,3.559,no grants cited,no grants cited,0,0,0,0,
Le Page F,Cooper PK,"Transcription-coupled repair of 8-oxoguanine: requirement for XPG, TFIIH, and CSB and implications for Cockayne syndrome",Cell,0092-8674,2000,2005,67,10786832,34.774,32.44,"Association pour la Recherche sur le Cancer CA63503(5219600,12) CA40453(1930115,17) French Ministry of Science, Electricite de France, and DOE contract DE-AC03-76SF00098","Association pour la Recherche sur le Cancer CA63503(5219600,12) CA40453(1930115,17) French Ministry of Science, Electricite de France, and DOE contract DE-AC03-76SF00098",548502.8431,731318.01,7149715,9532704.21,
Leadon SA,Avrutskaya AV,Requirement for DNA mismatch repair proteins in the transcription-coupled repair of thymine glycols in Saccharomyces cerevisiae.,Mutat Res,0921-8262,1998,2003,60,9637246,3.133,2.107,Unavailable,article missing online,0,0,0,0,
Leadon SA,Avrutskaya AV,"Differential involvement of the human mismatch repair proteins, hMLH1 and hMSH2, in transcription-coupled repair.",Cancer Res,0008-5472,1997,2003,70,9288788,8.164,8.614,"CA40453(1930115,17)",,113536.1765,162412.62,0,0,Y
Leadon SA,Dunn AB,"The yeast RAD2, but not RAD1, gene is involved in the transcription-coupled repair of thymine glycols.",Mutat Res,0921-8262,1995,2006,133,7491120,3.133,2.107,"CA40453(1930115,17)",,113536.1765,171044.79,0,0,Y
Lee YK,Kay NE,VEGF receptors on chronic lymphocytic leukemia (CLL) B cells interact with STAT 1 and 3: implication for apoptosis resistance.,Leukemia,0887-6924,2005,2010,60,15703780,8.205,6.612,"CA95241(5717533,31) and philanthropic support from Edson Spencer","CA95241(5717533,31) and philanthropic support from Edson Spencer",184436.5484,216822.97,5717533,6721511.89,
Leman ES,Getzenberg RH,EPCA-2: a highly specific serum marker for prostate cancer.,Urology,0090-4295,2007,2012,58,17445657,2.306,2.583,"CA65463(576060,6) and Onconome Inc.;","CA65463(576060,6) and Onconome Inc.;",96010,106313.82,576060,637882.92,
Leone JE,,Muscle dysmorphia symptomatology and extreme drive for muscularity in a 23-year-old woman: a case study,J Strength Cond Res,1064-8011,2009,2009,3,19387376,2.338,2.561,no grants cited,no grants cited,0,0,0,0,
Lerner JS,Taylor SE,Facial expressions of emotion reveal neuroendocrine and cardiovascular stress responses,Biol Psychiatry,0006-3223,2005,2007,14,16256075,9.247,6.779,"MH6237602(?,2) MH056880(1250210,27) MH067346(1488750,26) and NSF PECASE SES-0239637 and the Fetzer Foundation","MH6237602(?,2) MH056880(1250210,27) MH067346(1488750,26) and NSF PECASE SES-0239637 and the Fetzer Foundation",103563.6895,121749.11,2738960,3219911.84,
Lilly JW,Stern DB,The Chlamydomonas reinhardtii organellar genomes respond transcriptionally and post-transcriptionally to abiotic stimuli,Plant Cell,1040-4651,2002,2004,16,12417695,10.224,10.751,National Science Foundation Grant MCB 9975765 and NIH NRSA not specified,National Science Foundation Grant MCB 9975765 and NIH NRSA not specified,0,0,0,0,
Lin J,Low WC,Directed differentiation of mouse cochlear neural progenitors in vitro,Am J Physiol Cell Physiol,0363-6143,2009,2009,9,19261910,3.97,4.128,"R01DC008165(1570240,17) P30CD04660(?,5) R03CA107989(148500,11) and Academic Health Center seed grant and 5M Lions International Hearing Foundation","R01DC008165(1570240,17) P30CD04660(?,5) R03CA107989(148500,11) and Academic Health Center seed grant and 5M Lions International Hearing Foundation",105867.0588,113297.2,1718740,1839367.53,
Lipsky R,Diversé-Pierluissi MA,beta-Adrenergic receptor activation induces internalization of cardiac Cav1.2 channel complexes through a beta-arrestin 1-mediated pathway.,J Biol Chem,0021-9258,2008,2011,36,18458091,5.117,5.575,"NS37443(2346515,9) HL076230(2656042,25) HL7458(?,2) and American Heart Assoc","NS37443(2346515,9) HL076230(2656042,25) HL7458(?,2) and American Heart Assoc",366965.5689,391323.36,5002557,5334607.84,
Liu G,Lin Y,Voltammetric detection of Cr(VI) with disposable screen-printed electrode modified with gold nanoparticles,Environ Sci Technol,0013-936X,2007,2008,4,18186348,5.764,4.93,"1R01 ES010976-01A2(245616,7) and DOE","1R01 ES010976-01A2(245616,7) and DOE",35088,38853.65,245616,271975.58,Y
Liu H,Yao Z,"Role of opioid delta1 receptors, mitochondrial K(ATP) channels, and protein kinase C during cardiocyte apoptosis",J Mol Cell Cardiol,0022-2828,2001,2003,16,11708844,4.988,3.396,"HL03881(425278,14) HL67416(?,2) HL68250(?,1)","HL03881(425278,14) HL67416(?,2) HL68250(?,1)",30377,39381.01,425278,551334.15,
Liu X,Curtiss R 3d,Production and secretion of fatty acids in genetically engineered cyanobacteria.,Proc Natl Acad Sci U S A,0027-8424,2010,2010,0,20351245,10.472,10.591,"Funded by DOE, internal sources","Funded by DOE, internal sources",0,0,0,0,
Lobashevsky AL,Thomas JM,Allele-specific in situ analysis of microchimerism by fluorescence resonance energy transfer (FRET) in nonhuman primate tissues,Hum Immunol,0198-8859,2002,2008,82,11821158,2.732,2.573,no grants cited,no grants cited,0,0,0,0,
Lombardi VC,Mikovits JA,"Detection of an infectious retrovirus, XMRV, in blood cells of patients with chronic fatigue syndrome.",Science,0036-8075,2009,2011,24,19815723,32.452,31.052,"CA104943(?,2) NIH contract HHSN26120080001E, DoD Prostate Cancer Research Program W81XWH-07-1338, V Foundation for Cancer Research, Charlotte Geyer Foundation, and Mal and Lea Blank","CA104943(?,2) NIH contract HHSN26120080001E, DoD Prostate Cancer Research Program W81XWH-07-1338, V Foundation for Cancer Research, Charlotte Geyer Foundation, and Mal and Lea Blank",0,0,0,0,
Lozano SC,Tversky B,Putting motor resonance in perspective,Cognition,Not found,2008,2009,10,17662266,4.16,not found,Grant N000140210534 (NSF?),Grant N000140210534 (NSF?),0,0,0,0,
Lozano SC,Tversky B,Putting action in perspective,Cognition,not found,2007,2009,19,16765339,4.16,not found,Office of Naval Research N000140210534,Office of Naval Research N000140210534,0,0,0,0,
Lozano SC,Tversky B,Perspective taking promotes action understanding and learning,J Exp Psychol Hum Percept Perform,0096-1523,2006,2008,22,17154781,3.759,2.261,"Office of Naval Research N00014-PP-1-O649, N000140210534 and N000140110717","Office of Naval Research N00014-PP-1-O649, N000140210534 and N000140110717",0,0,0,0,
Luettich K,Schmidt C,TGFbeta1 activates c-Jun and Erk1 via alphaVbeta6 integrin,Mol Cancer,not found,2003,2004,4,14572313,4.597,not found,German Research Foundation,German Research Foundation,0,0,0,0,
Machado FS,Aliberti J,Native and aspirin-triggered lipoxins control innate immunity by inducing proteasomal degradation of TRAF6,J Exp Med,0022-1007,2008,2009,17,18411340,14.665,15.504,"AI075038(1674477,3) HL079312(2034920,5) GM38765(7830594,196) P50DE16191(13609051,137), grant from CCHMC (Trustee Grant/CFF-RDP center)","AI075038(1674477,3) HL079312(2034920,5) GM38765(7830594,196) P50DE16191(13609051,137), grant from CCHMC (Trustee Grant/CFF-RDP center)",1104431.149,1177739.12,25149042,26818340,
Maeda F,Iacoboni M,Experience-dependent modulation of motor corticospinal excitability during action observation,Exp Brain Res,0014-4819,2001,2002,12,11521156,2.533,2.306,"RR12169(740836,136) Brain Mapping Medical Research Organization, Abramson Foundation, Pierson-Lovelace Foundation, Tamkin Foundation, Jennifer Jones-Simon Foundation, Capital Group Companies Charitable Foundation, Robson Family, Northstar Fund","RR12169(740836,136) Brain Mapping Medical Research Organization, Abramson Foundation, Pierson-Lovelace Foundation, Tamkin Foundation, Jennifer Jones-Simon Foundation, Capital Group Companies Charitable Foundation, Robson Family, Northstar Fund",5447.323529,7061.95,740836,960426.32,
Malik G,Das DK,Ischemic preconditioning triggers nuclear translocation of thioredoxin and its interaction with Ref-1 potentiating a survival signal through the PI-3-kinase-Akt pathway.,Antioxid Redox Signal,1523-0864,2006,2012,65,17034353,7.615,4.491,Unavailable,article not available,0,0,0,0,
Mandal PK,Mandal R,"Molecular understanding of Abeta peptide interaction with isoflurane, propofol, and thiopental: NMR spectroscopic study",Biochemistry,0006-2960,2007,2007,10,17223697,3.249,3.444,no grants cited,no grants cited,0,0,0,0,
Mandal PK,Mandal R,Alzheimer's disease: halothane induces Abeta peptide to oligomeric form--solution NMR studies,Neurochem Res,0364-3190,2006,2008,18,16807784,2.398,2.139,"Supported by American Health Assistance Foundation, American Parkinson Disease Association, U Pitt","Supported by American Health Assistance Foundation, American Parkinson Disease Association, U Pitt",0,0,0,0,
Marik PE,,The failure of a once-daily vancomycin dosing regimen in patients with normal renal function.,J Antimicrob Chemother,0305-7453,1997,1999,15,9421334,4.792,3.296,no grants cited,no grants cited,0,0,0,0,
Martens JR,Gelband CH,Prevention of renovascular and cardiac pathophysiological changes in hypertension by angiotensin II type 1 receptor antisense gene therapy.,Proc Natl Acad Sci U S A,0027-8424,1998,2004,79,9482944,10.472,10.26,"HL52189(927423,25) HL56921(9953331,57) and the Council for Tobacco Research and a predoctoral fellowship from the American Heart Association",and the Council for Tobacco Research and a predoctoral fellowship from the American Heart Association,211716.7621,298214.1,0,0,
Matsuyama W,Yoshimura T,Interaction of discoidin domain receptor 1 isoform b (DDR1b) with collagen activates p38 mitogen-activated protein kinase and promotes differentiation of macrophages,FASEB J,0892-6638,2003,2009,74,12738814,6.34,7.172,no grants cited,no grants cited,0,0,0,0,
Mayack SR,Wagers AJ,Systemic signals regulate ageing and rejuvenation of blood stem cell niches.,Nature,0028-0836,2010,2010,9,20110993,36.235,35.248,"1DP2OD004345-01(2430000,4) T32DK07260(6517916,106) P30DK036836(32192708,593) and Burroughs-Wellcome Fund, WM Keck Foundation, Iacocca Foundation","1DP2OD004345-01(2430000,4) T32DK07260(6517916,106) P30DK036836(32192708,593) and Burroughs-Wellcome Fund, WM Keck Foundation, Iacocca Foundation",723277.6454,761548.45,41140624,43317498,
Mayack SR,Wagers AJ,Osteolineage niche cells initiate hematopoietic stem cell mobilization.,Blood,0006-4971,2008,2012,42,18456874,9.785,9.691,"T32DK07260(6517916,106), Smith Family Medical Foundation, Paul F. Glenn Laboratories, and Burroughs Wellcome Fund Career Award","Smith Family Medical Foundation, Paul F. Glenn Laboratories, and Burroughs Wellcome Fund Career Award",61489.77358,65571.23,0,0,
Mi QS,She JX,The autoimmune regulator (Aire) controls iNKT cell development and maturation,Nat Med,1078-8956,2006,2006,3,16732280,26.418,28.588,"American Diabetes Association, NIH, CIHR grants not specified","American Diabetes Association, NIH, CIHR grants not specified",0,0,0,0,
Motlekar NA,Youan BB,Zonula occludens toxin synthetic peptide derivative AT1002 enhances in vitro and in vivo intestinal absorption of low molecular weight heparin,J Drug Target,1061-186X,2006,2008,29,16882552,3.018,1.699,"GM069397-01A2(221887,6) and Texas Tech","GM069397-01A2(221887,6) and Texas Tech",36981.16667,42116.34,221887,252698.04,
Motlekar NA,Youan BB,Oral delivery of low-molecular-weight heparin using sodium caprate as absorption enhancer reaches therapeutic levels,J Drug Target,1061-186X,2005,2008,35,16390818,3.018,1.569,"GM069397-01A2(221887,6) and internal funding",and internal funding,36981.16667,43474.93,0,0,
Muenchen HJ,Pienta KJ,Different docetaxel-induced apoptotic pathways are present in prostate cancer cell lines LNCaP and PC-3,Urology,0090-4295,2001,2003,28,11182366,2.306,2.762,"CaPCURE and SPORE grant CA69568(43359215,452)","CaPCURE and SPORE grant CA69568(43359215,452)",95927.46681,124361.22,43359215,56211268,
Muenchen HJ,Pienta KJ,"Tumor necrosis factor-alpha-induced apoptosis in prostate cancer cells through inhibition of nuclear factor-kappaB by an IkappaBalpha ""super-repressor""",Clin Cancer Res,1078-0432,2000,2002,31,10815922,7.508,4.643,"CaPCURE and SPORE Grant P50 CA69568(41382882,452)",CaPCURE and SPORE Grant,91555.04867,122070.21,0,0,
Muinck ED,Das DK,Protection against myocardial ischemia-reperfusion injury by the angiogenic Masterswitch protein PR 39 gene therapy: the roles of HIF1alpha stabilization and FGFR1 signaling.,Antioxid Redox Signal,1523-0864,2007,2012,60,17280485,7.615,4.933,Unavailable,not available online,0,0,0,0,
Mukherjee S,Das DK,Freshly crushed garlic is a superior cardioprotective agent than processed garlic.,J Agric Food Chem.,0021-8561,2009,2012,31,19722587,3.239,3.051,"HL22559(4578375,208) HL33889(?,163) HL69910(3378343,47) and a travel grant from the Indo-US Science and Technology Forum","HL22559(4578375,208) HL33889(?,163) HL69910(3378343,47) and a travel grant from the Indo-US Science and Technology Forum",93891.05657,100480.68,7956718,8515149.89,
Mukherjee S,Das DK,Broccoli: a unique vegetable that protects mammalian hearts through the redox cycling of the thioredoxin superfamily.,J Agric Food Chem,0021-8561,2008,2012,50,18163565,3.239,3.165,"HL34360(4954125,144) HL22559(4578375,208) HL33889(?,163)","HL34360(4954125,144)",56415.0641,60159.68,4954125,5282961.11,
Murthy HM,Padmanabhan R,Crystal structure of Dengue virus NS3 protease in complex with a Bowman-Birk inhibitor: implications for flaviviral polyprotein processing and drug design.,J Mol Biol,0022-2836,2000,2010,116,10966782,3.981,5.388,Johnson & Johnson Focused Giving grant,Johnson & Johnson Focused Giving grant,0,0,0,0,
Murthy HM,Padmanabhan R,Dengue virus NS3 serine protease. Crystal structure and insights into interaction of the active site with substrates by molecular modeling and structural analysis of mutational effects.,J Biol Chem,0021-9258,1999,2009,130,10026173,5.117,7.666,"AI32078(1979427,20) American Cancer Society Grant IRG 204 (to K. M.) and the Johnson & Johnson Foundation (to R. P.)",American Cancer Society Grant IRG 204 (to K. M.) and the Johnson & Johnson Foundation (to R. P.),98971.35,136393.93,0,0,
Nezhat F,Ambroze W Jr.,Laparoscopic segmental resection for infiltrating endometriosis of the rectosigmoid colon: a preliminary report.,Surg Laparosc Endosc,1051-7200,1992,2001,101,1341533,1.099,0.974,Unavailable,No access from Penn,0,0,0,0,
Nguele JC,Fujita M,Genetic and biochemical analyses of sensor kinase A in Bacillus subtilis sporulation.,Genet Mol Res,1676-5680,2010,2011,14,20391342,1.161,1.013,Supported by UH-DBB (University of Houston?) contract WO5856-9,Supported by UH-DBB (University of Houston?) contract WO5856-9,0,0,0,0,
Nguyen LT,Pease LR,Cross-linking the B7 family molecule B7-DC directly activates immune functions of dendritic cells.,J Exp Med,0022-1007,2002,2010,89,12438431,14.665,15.837,"CA97085(3535412,32) and Ralph C. Wilson Jr. and Sr. Foundations","CA97085(3535412,32) and Ralph C. Wilson Jr. and Sr. Foundations",110481.625,141000.11,3535412,4512003.24,
Nunez E,Fu XD,Nuclear receptor-enhanced transcription requires motor- and LSD1-dependent gene networking in interchromatin granules,Cell,0092-8674,2008,2008,4,18358812,34.774,30.149,"CA52599(6598573,29) HL088129(379598,4) GM049369(5684091,28) CA114184(1566220,4) CA97134(3175078,16) DK39949(10351051,32) NS34934(8633308,30), HHMI, Prostate Cancer Research Foundation grant USA MRMC PC04052, and the Vitamin Cases Research Fund","CA52599(6598573,29) HL088129(379598,4) GM049369(5684091,28) CA114184(1566220,4) CA97134(3175078,16) DK39949(10351051,32) NS34934(8633308,30), HHMI, Prostate Cancer Research Foundation grant USA MRMC PC04052, and the Vitamin Cases Research Fund",1726684.402,1841295.19,36387919,38803212,
Nuttall FQ,Hoover H,Glycemic response to ingested dreamfields pasta compared with traditional pasta.,Diabetes Care,0149-5992,2011,2011,7,21270176,7.424,7.424,Funded by Veterans Affairs (grant not cited),Funded by Veterans Affairs (grant not cited),0,0,0,0,
Orme IM,Weiser WY,Inhibition of growth of Mycobacterium avium in murine and human mononuclear phagocytes by migration inhibitory factor.,Infect Immun,0019-9567,1993,1994,16,8418058,4.055,4.184,"AI30189(3828374,36) AI18471(2167416,29) AI22801(680233,5) and a grant from Genetics Institute Boston MA","AI30189(3828374,36) AI18471(2167416,29) AI22801(680233,5) and a grant from Genetics Institute Boston MA",317128.805,503881.45,6676023,10607438.23,
Paul S,Kruh GD,ATP-dependent transport of lipophilic cytotoxic drugs by membrane vesicles prepared from MRP-overexpressing HL60/ADR cells.,Biochemistry,0006-2960,1996,1997,12,8909298,3.249,4.493,"CA63173(789374,10) CA06927(143095033,1705) Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase","CA63173(789374,10)Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase",162864.1056,238321.37,789374,1155102.19,
Paul S,Kruh GD,Structure and in vitro substrate specificity of the murine multidrug resistance-associated protein.,Biochemistry,0006-2960,1996,1997,13,8885844,3.249,4.493,"CA63173(789374,10) CA06927(143095033,1705) Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase",Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase,162864.1056,238321.37,0,0,
Paul S,Kruh GD,ATP-dependent uptake of natural product cytotoxic drugs by membrane vesicles establishes MRP as a broad specificity transporter.,Proc Natl Acad Sci U S A,0027-8424,1996,1997,17,8692921,10.472,10.26,"CA63173(789374,10) CA06927(143095033,1705) Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase",Betz Foundation grant and an appropriation from Commonwealth of Pennsylvania and Fox Chase,162864.1056,238321.37,0,0,
Pavelko KD,Pease LR,CTL activation using the natural low-affinity epitope 222-229 from tyrosinase-related protein 1 leads to tumor rejection.,Cancer Res,0008-5472,2009,2010,19,19276379,8.164,8.194,"R01CA104996(2157672,18) T32AI07425(2172612,13)","T32AI07425(2172612,13)",286994.6667,307137.02,2172612,2325093.94,Y
Pavelko KD,Pease LR,An effective vaccine strategy protective against antigenically distinct tumor variants.,Cancer Res,0008-5472,2008,2010,31,18381456,8.164,7.89,"R01CA104996(2157672,18)",,119870.6667,127827.23,0,0,Y
Petty HR,Kindzelskii AL,Dissipative metabolic patterns respond during neutrophil transmembrane signaling.,Proc Natl Acad Sci U S A,0027-8424,2001,2010,111,11248046,10.472,10.896,"CA74120(2465501,25)",,98620.04,127851.89,0,0,Y
Pins JJ,Keenan JM,Effects of whey peptides on cardiovascular disease risk factors,J Clin Hypertens (Greenwich),not found,2006,2008,21,17086017,1.83,not found,Funded by Davisco Foods and NIH grant not specified,Funded by Davisco Foods and NIH grant not specified,0,0,0,0,
Poehlman ET,,"Menopause, energy expenditure, and body composition",Acta Obstet Gynecol Scand,0001-6349,2002,2005,40,12190834,1.754,1.241,"AG13978(1853781,22) The United States Department of Agriculture 35200–3488 and GCRC-RR-109","AG13978(1853781,22) The United States Department of Agriculture 35200–3488 and GCRC-RR-109",84262.77273,107538.78,1853781,2365853.22,
Poehlman ET,Rosen CJ,"Menopause-associated changes in plasma lipids, insulin-like growth factor I and blood pressure: a longitudinal study.",Eur J Clin Invest,0014-2972,1997,2005,97,9134381,2.797,1.922,"AG07857(809720,83) AG00564(364544,67) T32AG00219(3284572,82) RR109","AG07857(809720,83) AG00564(364544,67) T32AG00219(3284572,82) RR109",55252.37397,79038.08,4458836,6378330.17,
Poehlman ET,Gardner AW,Changes in energy balance and body composition at menopause: a controlled longitudinal study.,Ann Intern Med,0003-4819,1995,2003,95,7574222,17.035,10.097,Unavailable,No access from Penn,0,0,0,0,
Poehlman ET,Calles-Escandon J,Effects of endurance training on total fat oxidation in elderly persons.,J Appl Physiol,8750-7587,1994,2005,134,7928848,4.103,2.081,"AG07857(809720,83) AG00564(364544,67) AG05564(28600,18) DK01963(285480,7) grants from American Diabetes Assoc, USDA, NICHD grant not specified","AG05564(28600,18) DK01963(285480,7) grants from American Diabetes Assoc, USDA, NICHD grant not specified",57568.36391,89185.9,314080,486578.16,
Poehlman ET,Goran MI,"Influence of endurance training on energy intake, norepinephrine kinetics, and metabolic rate in older individuals.",Metabolism,,1992,2005,156,1518423,2.772,,Unavailable,not available online,0,0,0,0,
Potti A,Nevins JR,Genomic signatures to guide the use of chemotherapeutics.,Nat Med,1078-8956,2006,2011,50,17057710,26.418,28.588,"NCI-U54CA112952-02(12354026,51) R01CA106520(2325703,21) and GlaxoSmithKline, Sanofi-Aventis, Orthobiotech, Ovarian Cancer Research Fund, Hearing the Ovarian Cancer Whisper Jacquie Liggett Fellowship","NCI-U54CA112952-02(12354026,51) R01CA106520(2325703,21) and GlaxoSmithKline, Sanofi-Aventis, Orthobiotech, Ovarian Cancer Research Fund, Hearing the Ovarian Cancer Whisper Jacquie Liggett Fellowship",352983.5658,401998.56,14679729,16718143,
Potti A,Nevins JR,A genomic strategy to refine prognosis in early-stage non-small-cell lung cancer.,N Engl J Med,0028-4793,2006,2011,55,16899777,50.075,51.296,no grants cited,grants not cited,0,0,0,0,
Potti A,Ortel TL,Gene-expression patterns predict phenotypes of immune-mediated thrombosis.,Blood,0006-4971,2006,2011,68,16263789,9.785,10.37,"U18DD00014(?,21) U54HL077878(5738944,19) R01HL072208(2866660,1)","U18DD00014(?,21) U54HL077878(5738944,19) R01HL072208(2866660,1)",3168709.684,3608713.94,8605604,9800570.66,
Prabhakaran K,Hendricks RL,Sensory neurons regulate the effector functions of CD8+ T cells in controlling HSV-1 latency ex vivo,Immunity,1074-7613,2005,2006,6,16286019,21.094,15.156,"EY05945(7429658,33) EY08098(9448628,416) NS50905-01(87019,2) EY015291(2620296,13) unrestricted grant from Research to Prevent Blindness, and the Eye and Ear Foundation of Pittsburgh","EY05945(7429658,33) EY08098(9448628,416) NS50905-01(87019,2) EY015291(2620296,13) unrestricted grant from Research to Prevent Blindness, and the Eye and Ear Foundation of Pittsburgh",492924.9304,579480.83,19585601,23024764,
Puckerin A,Diversé-Pierluissi MA,Arrestin is required for agonist-induced trafficking of voltage-dependent calcium channels.,J Biol Chem,0021-9258,2006,2011,56,16912040,5.117,5.808,"NS37443(2346515,9) R24 CA095823(1293878,203) and NSF DBI-9724504 and Hirschl Trust Fund Career Development Award","R24 CA095823(1293878,203) and NSF DBI-9724504 and Hirschl Trust Fund Career Development Award",267097.6721,304186.62,1293878,1473544.77,
Radhakrishnan S,Pease LR,Indirect recruitment of a CD40 signaling pathway in dendritic cells by B7-DC cross-linking antibody modulates T cell functions.,PLoS One,1932-6203,2009,2010,11,19399172,4.537,4.383,"CA104996(2157672,18) HL077296(1457594,5)","CA104996(2157672,18) HL077296(1457594,5)",411389.4667,440262.3,3615266,3868998.74,Y
Radhakrishnan S,Pease LR,TREM-2 mediated signaling induces antigen uptake and retention in mature myeloid dendritic cells.,J Immunol,0022-1767,2008,2010,18,19017976,5.859,6.165,"CA104996(2157672,18) HL077296(1457594,5) CA96859(766500,8) and Ralph Wilson Medical Research Foundation","CA96859(766500,8) and Ralph Wilson Medical Research Foundation",507201.9667,540868.12,766500,817377.38,
Radhakrishnan S,Pease LR,Reprogrammed FoxP3+ T regulatory cells become IL-17+ antigen-specific autoimmune effectors in vitro and in vivo.,J Immunol,0022-1767,2008,2010,21,18713984,5.859,6.165,"CA104996(2157672,18) HL077296(1457594,5)",,411389.4667,438695.95,0,0,Y
